timestamp,node_id,tilt_deg,displacement_mm,vibration_g,crack_width_mm,battery_percent,displacement_rate_mm_per_15min,tilt_rate_deg_per_15min,risk_score,risk_status,subsidence_risk_next
2026-01-01 00:00:00,NODE-02,0.714,5.004,0.283,1.825,95.66,0.0,0.0,18.4,SAFE,0
2026-01-01 00:15:00,NODE-05,2.001,12.918,0.525,4.315,96.92,7.915,1.287,53.0,LOW,0
2026-01-01 00:30:00,NODE-04,1.156,7.167,0.286,2.951,97.84,-5.751,-0.845,22.7,SAFE,0
2026-01-01 00:45:00,NODE-03,0.223,0.199,0.056,0.021,95.84,-6.968,-0.933,0.7,SAFE,0
2026-01-01 01:00:00,NODE-01,0.906,7.701,0.138,1.698,96.82,7.502,0.683,31.9,SAFE,0
2026-01-01 01:15:00,NODE-01,0.209,2.919,0.08,0.378,95.42,-4.782,-0.697,10.4,SAFE,0
2026-01-01 01:30:00,NODE-01,2.308,14.741,0.444,5.138,97.42,11.822,2.098,58.3,LOW,0
2026-01-01 01:45:00,NODE-05,1.358,6.613,0.382,2.535,95.38,-8.128,-0.95,20.5,SAFE,1
2026-01-01 02:00:00,NODE-03,3.393,26.198,1.009,7.636,96.82,19.586,2.036,84.0,CRITICAL,0
2026-01-01 02:15:00,NODE-04,0.608,1.483,0.111,0.72,97.16,-24.715,-2.785,6.7,SAFE,0
2026-01-01 02:30:00,NODE-01,1.136,6.759,0.289,2.436,94.55,5.276,0.528,33.2,SAFE,0
2026-01-01 02:45:00,NODE-05,0.401,1.273,0.209,1.358,95.16,-5.486,-0.735,11.4,SAFE,0
2026-01-01 03:00:00,NODE-05,1.379,8.271,0.347,2.933,95.11,6.998,0.978,37.4,SAFE,1
2026-01-01 03:15:00,NODE-01,2.302,17.756,0.645,5.602,97.25,9.485,0.923,64.6,WARNING,0
2026-01-01 03:30:00,NODE-01,2.54,15.403,0.619,4.768,94.54,-2.353,0.238,50.4,LOW,0
2026-01-01 03:45:00,NODE-01,0.328,2.533,0.145,1.064,96.34,-12.87,-2.212,6.8,SAFE,0
2026-01-01 04:00:00,NODE-02,2.227,14.445,0.534,4.307,96.82,11.912,1.899,57.7,LOW,0
2026-01-01 04:15:00,NODE-03,0.369,2.166,0.086,1.038,96.14,-12.279,-1.858,7.4,SAFE,0
2026-01-01 04:30:00,NODE-03,0.918,6.724,0.169,2.16,97.47,4.558,0.548,32.1,SAFE,0
2026-01-01 04:45:00,NODE-02,0.587,4.0,0.222,1.56,93.62,-2.723,-0.331,14.5,SAFE,0
2026-01-01 05:00:00,NODE-03,0.217,0.076,0.148,0.768,96.66,-3.924,-0.37,0.1,SAFE,0
2026-01-01 05:15:00,NODE-01,1.552,10.961,0.455,3.285,95.71,10.885,1.336,49.6,LOW,0
2026-01-01 05:30:00,NODE-02,1.697,15.363,0.568,3.951,94.12,4.402,0.145,46.0,LOW,0
2026-01-01 05:45:00,NODE-02,2.042,10.97,0.468,4.213,94.62,-4.393,0.345,41.6,LOW,0
2026-01-01 06:00:00,NODE-03,0.985,7.428,0.336,2.481,97.79,-3.543,-1.057,23.2,SAFE,0
2026-01-01 06:15:00,NODE-04,1.671,11.101,0.382,2.693,96.67,3.673,0.686,46.0,LOW,1
2026-01-01 06:30:00,NODE-01,2.587,16.584,0.587,5.91,96.87,5.483,0.916,69.1,WARNING,0
2026-01-01 06:45:00,NODE-03,0.493,8.528,0.346,2.136,97.06,-8.056,-2.095,23.2,SAFE,0
2026-01-01 07:00:00,NODE-03,1.427,7.596,0.356,3.059,94.27,-0.932,0.935,33.0,SAFE,0
2026-01-01 07:15:00,NODE-01,0.816,2.916,0.3,1.698,96.19,-4.68,-0.611,13.7,SAFE,0
2026-01-01 07:30:00,NODE-03,1.691,12.492,0.431,3.938,97.21,9.576,0.875,49.2,LOW,0
2026-01-01 07:45:00,NODE-01,2.122,11.895,0.503,4.289,95.41,-0.597,0.431,43.4,LOW,0
2026-01-01 08:00:00,NODE-01,1.301,7.203,0.347,3.096,97.52,-4.692,-0.821,26.1,SAFE,0
2026-01-01 08:15:00,NODE-05,0.975,6.51,0.249,2.282,95.15,-0.693,-0.325,20.3,SAFE,0
2026-01-01 08:30:00,NODE-05,1.368,9.84,0.44,2.371,96.03,3.33,0.393,39.9,SAFE,0
2026-01-01 08:45:00,NODE-04,1.504,7.923,0.367,3.016,96.35,-1.917,0.136,26.6,SAFE,0
2026-01-01 09:00:00,NODE-02,0.402,1.691,0.047,0.379,96.78,-6.233,-1.102,1.5,SAFE,1
2026-01-01 09:15:00,NODE-01,3.381,24.976,0.822,7.473,95.53,23.285,2.979,85.3,CRITICAL,0
2026-01-01 09:30:00,NODE-04,2.101,14.313,0.634,4.309,97.08,-10.663,-1.279,41.7,LOW,0
2026-01-01 09:45:00,NODE-03,0.86,4.837,0.15,0.963,96.38,-9.476,-1.241,12.3,SAFE,0
2026-01-01 10:00:00,NODE-01,1.327,6.631,0.299,2.778,93.89,1.795,0.467,27.9,SAFE,0
2026-01-01 10:15:00,NODE-03,1.067,6.122,0.301,2.447,98.06,-0.509,-0.26,20.9,SAFE,0
2026-01-01 10:30:00,NODE-01,0.886,5.899,0.299,1.972,94.7,-0.222,-0.181,15.0,SAFE,0
2026-01-01 10:45:00,NODE-05,1.995,13.707,0.434,3.596,98.15,7.808,1.109,50.8,LOW,0
2026-01-01 11:00:00,NODE-02,0.732,3.861,0.254,1.916,95.66,-9.847,-1.263,17.0,SAFE,0
2026-01-01 11:15:00,NODE-04,1.853,10.144,0.446,3.52,95.43,6.284,1.122,47.8,LOW,0
2026-01-01 11:30:00,NODE-02,1.223,9.027,0.367,2.75,96.32,-1.118,-0.631,25.5,SAFE,0
2026-01-01 11:45:00,NODE-03,0.592,3.23,0.01,0.778,95.0,-5.797,-0.631,6.1,SAFE,0
2026-01-01 12:00:00,NODE-03,0.87,4.09,0.244,1.39,93.57,0.86,0.277,17.9,SAFE,0
2026-01-01 12:15:00,NODE-01,0.959,6.818,0.3,2.689,95.7,2.728,0.09,35.1,SAFE,0
2026-01-01 12:30:00,NODE-05,0.699,5.804,0.239,1.16,96.28,-1.014,-0.26,16.7,SAFE,0
2026-01-01 12:45:00,NODE-04,0.734,6.011,0.275,2.883,97.67,0.207,0.035,19.6,SAFE,0
2026-01-01 13:00:00,NODE-05,0.908,7.225,0.271,1.811,94.39,1.214,0.174,24.1,SAFE,0
2026-01-01 13:15:00,NODE-05,0.545,4.691,0.275,1.749,96.51,-2.533,-0.362,15.4,SAFE,0
2026-01-01 13:30:00,NODE-03,0.92,5.09,0.265,1.072,95.69,0.398,0.374,20.2,SAFE,0
2026-01-01 13:45:00,NODE-05,1.213,10.722,0.323,3.052,95.85,5.632,0.293,39.7,SAFE,0
2026-01-01 14:00:00,NODE-01,0.673,1.966,0.125,0.515,96.97,-8.756,-0.54,3.4,SAFE,0
2026-01-01 14:15:00,NODE-01,1.088,5.841,0.356,2.275,95.19,3.875,0.414,33.6,SAFE,0
2026-01-01 14:30:00,NODE-01,1.507,11.761,0.469,3.51,96.0,5.92,0.419,45.7,LOW,0
2026-01-01 14:45:00,NODE-02,1.874,12.64,0.527,3.231,97.1,0.879,0.367,46.2,LOW,0
2026-01-01 15:00:00,NODE-02,0.835,6.799,0.239,1.493,97.03,-5.841,-1.038,23.9,SAFE,1
2026-01-01 15:15:00,NODE-02,2.268,16.964,0.723,4.908,94.32,10.165,1.433,64.7,WARNING,0
2026-01-01 15:30:00,NODE-05,0.516,3.186,0.121,0.834,95.05,-13.778,-1.753,7.3,SAFE,0
2026-01-01 15:45:00,NODE-02,1.168,4.592,0.297,2.841,95.61,1.407,0.652,31.6,SAFE,0
2026-01-01 16:00:00,NODE-02,1.226,8.605,0.253,1.984,96.75,4.013,0.059,28.3,SAFE,0
2026-01-01 16:15:00,NODE-03,0.534,1.859,0.123,1.529,95.47,-6.746,-0.693,8.2,SAFE,0
2026-01-01 16:30:00,NODE-01,1.072,7.307,0.221,2.364,95.87,5.448,0.539,30.5,SAFE,0
2026-01-01 16:45:00,NODE-04,1.326,5.482,0.184,2.233,97.27,-1.825,0.254,22.4,SAFE,0
2026-01-01 17:00:00,NODE-01,0.744,4.034,0.243,1.201,95.36,-1.447,-0.582,10.3,SAFE,0
2026-01-01 17:15:00,NODE-05,1.356,9.333,0.249,2.58,97.53,5.299,0.612,38.5,SAFE,0
2026-01-01 17:30:00,NODE-04,0.605,1.823,0.152,0.748,93.83,-7.511,-0.751,8.1,SAFE,0
2026-01-01 17:45:00,NODE-01,1.959,7.725,0.341,2.65,95.28,5.902,1.354,42.2,LOW,0
2026-01-01 18:00:00,NODE-01,0.7,4.232,0.184,1.255,94.11,-3.493,-1.259,11.5,SAFE,1
2026-01-01 18:15:00,NODE-05,2.594,19.508,0.745,5.261,95.88,15.276,1.894,69.1,WARNING,0
2026-01-01 18:30:00,NODE-04,0.617,4.838,0.226,1.65,96.64,-14.67,-1.977,11.3,SAFE,0
2026-01-01 18:45:00,NODE-04,0.83,6.979,0.293,1.691,95.54,2.141,0.213,31.5,SAFE,0
2026-01-01 19:00:00,NODE-04,1.486,8.702,0.443,3.334,95.16,1.723,0.657,36.9,SAFE,0
2026-01-01 19:15:00,NODE-01,0.574,3.661,0.234,1.836,94.1,-5.041,-0.912,13.7,SAFE,0
2026-01-01 19:30:00,NODE-02,1.919,12.577,0.523,3.858,97.74,8.916,1.345,53.7,LOW,0
2026-01-01 19:45:00,NODE-01,1.058,6.064,0.262,2.176,95.7,-6.514,-0.861,21.1,SAFE,0
2026-01-01 20:00:00,NODE-05,0.565,1.464,0.049,0.13,95.18,-4.6,-0.493,6.9,SAFE,0
2026-01-01 20:15:00,NODE-04,0.011,1.534,0.149,0.731,97.59,0.071,-0.554,1.4,SAFE,0
2026-01-01 20:30:00,NODE-02,1.76,13.585,0.482,4.195,95.29,12.051,1.749,50.5,LOW,0
2026-01-01 20:45:00,NODE-01,0.983,8.744,0.284,3.221,94.62,-4.841,-0.777,25.0,SAFE,0
2026-01-01 21:00:00,NODE-02,1.215,5.891,0.26,2.125,94.85,-2.853,0.233,22.7,SAFE,1
2026-01-01 21:15:00,NODE-02,3.415,22.319,0.872,6.172,94.67,16.428,2.2,81.7,CRITICAL,0
2026-01-01 21:30:00,NODE-04,0.046,0.962,0.133,0.505,94.42,-21.357,-3.369,2.7,SAFE,0
2026-01-01 21:45:00,NODE-04,1.082,5.902,0.15,1.327,94.86,4.94,1.036,28.6,SAFE,0
